姓名,性别,出生年份,出生地,长度,名,名1,笔画1,偏旁1,拼音1,常用1,名2,笔画2,偏旁2,拼音2,常用2
黄小俊,男,1958,福建省建瓯市,3,小俊,小,3,小,xiǎo,1,俊,9,亻,jùn,1
韩召颖,男,1968,山东省莱州市,3,召颖,召,5,口,zhào,1,颖,13,页,yǐng,2
刘苡馨,女,2014,香港,3,苡馨,苡,7,艹,yǐ,3,馨,20,香,xīn,3
邓涵一,女,2014,香港,3,涵一,涵,11,氵,hán,2,一,1,一,yī,1
钟本强,男,1957,湖南桂东,3,本强,本,5,木,běn,1,强,12,弓,qiáng,1
鲁俊谷,男,1946,福建金门,3,俊谷,俊,9,亻,jùn,1,谷,7,谷,gǔ,1
蒋新征,男,1978,福建仙游,3,新征,新,13,斤,xīn,1,征,8,彳,zhēng,1
汪希玥,女,2014,台湾省台北市,3,希玥,希,7,巾,xī,1,玥,8,王,yuè,3
魏旭昶,男,1964,甘肃 白银,3,旭昶,旭,6,日,xù,2,昶,9,日,chǎng,3
平新来,男,1965,江苏海安,3,新来,新,13,斤,xīn,1,来,7,木,lái,1
段相霖,男,1972,安徽界首,3,相霖,相,9,目,xiāng,1,霖,16,雨,lín,3
张信儿,女,2013,香港嘉诺撒医院,3,信儿,信,9,亻,xìn,1,儿,2,儿,ér,1
曾祥彪,男,1953,湖南省新化县,3,祥彪,祥,10,礻,xiáng,1,彪,11,彡,biāo,2
兜宝,女,2010,浙江杭州,2,宝,宝,8,宀,bǎo,1,宝,0,0,0,0
王永敏,男,1959,海南白沙,3,永敏,永,5,水,yǒng,1,敏,11,攵,mǐn,1
段德海,男,1975,辽宁大连,3,德海,德,15,彳,dé,1,海,10,氵,hǎi,1
张隆挺,男,1966,广东汕头,3,隆挺,隆,11,阝,lóng,1,挺,9,扌,tǐng,1
张元键,男,1964,江苏,3,元键,元,4,儿,yuán,1,键,13,钅,jiàn,1
马军成,男,1974,宁夏泾源,3,军成,军,6,冖,jūn,1,成,6,戈,chéng,1
周海洁,女,2012,中国,3,海洁,海,10,氵,hǎi,1,洁,9,氵,jié,1
许泽永,男,1943,安徽省休宁县,3,泽永,泽,8,氵,zé,1,永,5,水,yǒng,1
焦焕成,男,1949,山西昔阳县,3,焕成,焕,11,火,huàn,2,成,6,戈,chéng,1
门传真,男,1953,辽宁盖县,3,传真,传,6,亻,chuán,1,真,10,目,zhēn,1
刘方棠,男,1953,四川宣汉,3,方棠,方,4,方,fāng,1,棠,12,木,táng,2
唐中祥,男,1962,浙江海盐,3,中祥,中,4,丨,zhōng,1,祥,10,礻,xiáng,1
邹经湘,男,1938,湖南,3,经湘,经,8,纟,jīng,1,湘,12,氵,xiāng,2
刘向蕙,女,2012,香港,3,向蕙,向,6,口,xiàng,1,蕙,15,艹,huì,3
谭景峰,男,1961,内蒙古自治区突泉县,3,景峰,景,12,日,jǐng,1,峰,10,山,fēng,1
连燕华,男,1952,陕西旬邑,3,燕华,燕,16,灬,yàn,1,华,6,十,huá,1
刘霓娜,女,2012,北京,3,霓娜,霓,16,雨,ní,3,娜,9,女,nà,2
蒋志雄,男,1956,福建莆田,3,志雄,志,7,心,zhì,1,雄,12,隹,xióng,1
颜志煌,男,1971,福建龙海,3,志煌,志,7,心,zhì,1,煌,13,火,huáng,1
贺恩友,男,1964,重庆垫江,3,恩友,恩,10,心,ēn,1,友,4,又,yǒu,1
贾云馨,女,2012,北京,3,云馨,云,4,二,yún,1,馨,20,香,xīn,3
吕怿娈,女,2011,北京,3,怿娈,怿,8,忄,yì,3,娈,9,女,luán,3
闻学良,男,1954,江苏省阜宁县,3,学良,学,8,子,xué,1,良,7,艮,liáng,1
李康和,男,1957,浙江温州,3,康和,康,11,广,kāng,1,和,8,口,hé,1
张启舜,男,1937,福建宁化县翠江镇,3,启舜,启,7,口,qǐ,1,舜,12,夕,shùn,3
窦学友,男,1921,河南省博爱县,3,学友,学,8,子,xué,1,友,4,又,yǒu,1
胡本祥,男,1966,浙江宁波,3,本祥,本,5,木,běn,1,祥,10,礻,xiáng,1
俞春旺,男,1965,江西婺源,3,春旺,春,9,日,chūn,1,旺,8,日,wàng,1
雷崇善,男,1946,山西临猗,3,崇善,崇,11,山,chóng,1,善,12,口,shàn,1
龙世平,男,1942,江西永新,3,世平,世,5,一,shì,1,平,5,干,píng,1
韩小野,女,2011,中国,3,小野,小,3,小,xiǎo,1,野,11,里,yě,1
王仁卉,男,1937,湖北省武汉市,3,仁卉,仁,4,亻,rén,1,卉,5,十,huì,3
黄修国,男,1974,四川省泸县,3,修国,修,9,亻,xiū,1,国,8,囗,guó,1
贾育平,男,1936,北京,3,育平,育,8,月,yù,1,平,5,干,píng,1
邓宏光,男,1977,湖南省宜章县,3,宏光,宏,7,宀,hóng,1,光,6,儿,guāng,1
邵完存,男,1953,山东莘县,3,完存,完,7,宀,wán,1,存,6,子,cún,1
严君国,男,1955,河南省淅川县,3,君国,君,7,口,jūn,1,国,8,囗,guó,1
郑俊荣,男,1991,香港,3,俊荣,俊,9,亻,jùn,1,荣,9,艹,róng,1
黎灿,男,1926,广东省中山市沙溪镇港园村,2,灿,灿,7,火,càn,1,灿,0,0,0,0
吴岩峻,男,1961,宁夏盐池,3,岩峻,岩,8,山,yán,1,峻,10,山,jùn,2
张炳翔,男,1942,上海,3,炳翔,炳,9,火,bǐng,3,翔,12,羽,xiáng,2
许自成,男,1964,河南省汝南县,3,自成,自,6,自,zì,1,成,6,戈,chéng,1
颜朝华,男,1964,重庆江津,3,朝华,朝,12,月,cháo,1,华,6,十,huá,1
陈久琪,男,1961,贵州贵阳,3,久琪,久,3,丿,jiǔ,1,琪,12,王,qí,3
占国桥,男,1953,浙江萧山,3,国桥,国,8,囗,guó,1,桥,10,木,qiáo,1
张孝存,男,1968,陕西蓝田,3,孝存,孝,7,子,xiào,1,存,6,子,cún,1
徐瑚珊,男,1964,安徽潜山,3,瑚珊,瑚,13,王,hú,3,珊,9,王,shān,2
胡朝荣,男,1964,安徽肥西,3,朝荣,朝,12,月,cháo,1,荣,9,艹,róng,1
高幼衡,男,1956,江西南昌,3,幼衡,幼,5,幺,yòu,1,衡,16,行,héng,1
李依宸,女,2011,陕西省西安市,3,依宸,依,8,亻,yī,1,宸,10,宀,chén,3
张楚儿,女,2011,香港,3,楚儿,楚,13,木,chǔ,1,儿,2,儿,ér,1
卜玉坤,男,1957,吉林省九台市,3,玉坤,玉,5,玉,yù,1,坤,8,土,kūn,2
姜锡东,男,1961,山东省平度市,3,锡东,锡,13,钅,xī,1,东,5,一,dōng,1
徐赟涵,女,2010,山东济南,3,赟涵,赟,16,贝,yūn,3,涵,11,氵,hán,2
严稚棱,女,2010,北京,3,稚棱,稚,13,禾,zhì,2,棱,12,木,léng,2
李巧罗,男,1986,湖北长阳土家族自治县,3,巧罗,巧,5,工,qiǎo,1,罗,8,罒,luó,1
潘继武,男,1941,河北省雄县市,3,继武,继,10,纟,jì,1,武,8,止,wǔ,1
唐智刚,男,1964,江西安远,3,智刚,智,12,日,zhì,1,刚,6,刂,gāng,1
杨评防,男,1966,湖南邵东,3,评防,评,7,讠,píng,1,防,6,阝,fáng,1
谈俊忠,男,1964,江苏宜兴人,3,俊忠,俊,9,亻,jùn,1,忠,8,心,zhōng,1
于涌津,男,1967,山东淄博,3,涌津,涌,10,氵,yǒng,1,津,9,氵,jīn,1
王水亮,男,1959,浙江江山,3,水亮,水,4,水,shuǐ,1,亮,9,亠,liàng,1
石国刚,男,1944,天津,3,国刚,国,8,囗,guó,1,刚,6,刂,gāng,1
劳新祥,男,1963,浙江余姚,3,新祥,新,13,斤,xīn,1,祥,10,礻,xiáng,1
陈馨妍,女,2010,浙江 湖州,3,馨妍,馨,20,香,xīn,3,妍,7,女,yán,3
徐茂栋,男,1968,山东日照,3,茂栋,茂,8,艹,mào,1,栋,9,木,dòng,1
曹默,男,1970,吉林省伊通市,2,默,默,16,黑,mò,1,默,0,0,0,0
岩庄尖,男,1985,云南勐海,3,庄尖,庄,6,广,zhuāng,1,尖,6,小,jiān,1
