Given1,Given2,Gender,Py1,Py2,IPA1,IPA2,open_syll_p,hi_nuc_p,bk_nuc_p,rd_nuc_p,ons_p,obsr_ons_p,non_cor_ons_p
小,俊,1,xiǎo,jùn,ɕjaw,tɕyn,0.5,0.5,0.0,0.5,1.0,1.0,0.0
召,颖,1,zhào,yǐng,tʂaw,iŋ,0.5,0.5,0.0,0.0,0.5,1.0,0.0
苡,馨,0,yǐ,xīn,i,ɕin,0.5,1.0,0.0,0.0,0.5,1.0,0.0
涵,一,0,hán,yī,xan,i,0.5,0.5,0.0,0.0,0.5,1.0,1.0
本,强,1,běn,qiáng,pən,tɕʰjɑŋ,0.0,0.0,0.5,0.0,1.0,1.0,0.5
俊,谷,1,jùn,gǔ,tɕyn,ku,0.5,1.0,0.5,1.0,1.0,1.0,0.5
新,征,1,xīn,zhēng,ɕin,tʂəŋ,0.0,0.5,0.0,0.0,1.0,1.0,0.0
希,玥,0,xī,yuè,ɕi,ɥɛ,1.0,0.5,0.0,0.0,0.5,1.0,0.0
旭,昶,1,xù,chǎng,ɕy,tʂʰaŋ,0.5,0.5,0.0,0.5,1.0,1.0,0.0
新,来,1,xīn,lái,ɕin,laj,0.5,0.5,0.0,0.0,1.0,0.5,0.0
相,霖,1,xiāng,lín,ɕjɑŋ,lin,0.0,0.5,0.5,0.0,1.0,0.5,0.0
信,儿,0,xìn,ér,ɕin,ər,0.0,0.5,0.0,0.0,0.5,1.0,0.0
祥,彪,1,xiáng,biāo,ɕjɑŋ,pjaw,0.5,0.0,0.5,0.0,1.0,1.0,0.5
宝,0,0,bǎo,0,paw,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
永,敏,1,yǒng,mǐn,yŋ,min,0.0,1.0,0.0,0.5,0.5,0.0,1.0
德,海,1,dé,hǎi,tɤ,xaj,1.0,0.0,0.5,0.0,1.0,1.0,0.5
隆,挺,1,lóng,tǐng,luŋ,tʰiŋ,0.0,1.0,0.5,0.5,1.0,0.5,0.0
元,键,1,yuán,jiàn,ɥan,tɕjɛn,0.0,0.0,0.0,0.0,0.5,1.0,0.0
军,成,1,jūn,chéng,tɕyn,tʂʰəŋ,0.0,0.5,0.0,0.5,1.0,1.0,0.0
海,洁,0,hǎi,jié,xaj,tɕjɛ,1.0,0.0,0.0,0.0,1.0,1.0,0.5
泽,永,1,zé,yǒng,tsɤ,yŋ,0.5,0.5,0.5,0.5,0.5,1.0,0.0
焕,成,1,huàn,chéng,xwan,tʂʰəŋ,0.0,0.0,0.0,0.0,1.0,1.0,0.5
传,真,1,chuán,zhēn,tʂʰwan,tʂən,0.0,0.0,0.0,0.0,1.0,1.0,0.0
方,棠,1,fāng,táng,faŋ,tʰaŋ,0.0,0.0,0.0,0.0,1.0,1.0,0.5
中,祥,1,zhōng,xiáng,tʂuŋ,ɕjɑŋ,0.0,0.5,1.0,0.5,1.0,1.0,0.0
经,湘,1,jīng,xiāng,tɕiŋ,ɕjɑŋ,0.0,0.5,0.5,0.0,1.0,1.0,0.0
向,蕙,0,xiàng,huì,ɕjɑŋ,xwej,0.5,0.0,0.5,0.0,1.0,1.0,0.5
景,峰,1,jǐng,fēng,tɕiŋ,fəŋ,0.0,0.5,0.0,0.0,1.0,1.0,0.5
燕,华,1,yàn,huá,jɛn,xwa,0.5,0.0,0.0,0.0,0.5,1.0,1.0
霓,娜,0,ní,nà,ni,na,1.0,0.5,0.0,0.0,1.0,0.0,0.0
志,雄,1,zhì,xióng,tʂʅ,ɕyŋ,0.5,0.5,0.0,0.5,1.0,1.0,0.0
志,煌,1,zhì,huáng,tʂʅ,xwaŋ,0.5,0.0,0.0,0.0,1.0,1.0,0.5
恩,友,1,ēn,yǒu,ən,jəw,0.5,0.0,0.0,0.0,0.0,0,0
云,馨,0,yún,xīn,yn,ɕin,0.0,1.0,0.0,0.5,0.5,1.0,0.0
怿,娈,0,yì,luán,i,lwan,0.5,0.5,0.0,0.0,0.5,0.0,0.0
学,良,1,xué,liáng,ɕɥɛ,ljɑŋ,0.5,0.0,0.5,0.0,1.0,0.5,0.0
康,和,1,kāng,hé,kʰaŋ,xɤ,0.5,0.0,0.5,0.0,1.0,1.0,1.0
启,舜,1,qǐ,shùn,tɕʰi,ʂwən,0.5,0.5,0.0,0.0,1.0,1.0,0.0
学,友,1,xué,yǒu,ɕɥɛ,jəw,1.0,0.0,0.0,0.0,0.5,1.0,0.0
本,祥,1,běn,xiáng,pən,ɕjɑŋ,0.0,0.0,0.5,0.0,1.0,1.0,0.5
春,旺,1,chūn,wàng,tʂʰwən,waŋ,0.0,0.0,0.0,0.0,0.5,1.0,0.0
崇,善,1,chóng,shàn,tʂʰuŋ,ʂan,0.0,0.5,0.5,0.5,1.0,1.0,0.0
世,平,1,shì,píng,ʂʅ,pʰiŋ,0.5,0.5,0.0,0.0,1.0,1.0,0.5
小,野,0,xiǎo,yě,ɕjaw,jɛ,1.0,0.0,0.0,0.0,0.5,1.0,0.0
仁,卉,1,rén,huì,ʐən,xwej,0.5,0.0,0.0,0.0,1.0,1.0,0.5
修,国,1,xiū,guó,ɕjəw,kwo,1.0,0.0,0.5,0.5,1.0,1.0,0.5
育,平,1,yù,píng,y,pʰiŋ,0.5,1.0,0.0,0.5,0.5,1.0,1.0
宏,光,1,hóng,guāng,xuŋ,kwaŋ,0.0,0.5,0.5,0.5,1.0,1.0,1.0
完,存,1,wán,cún,wan,tsʰwən,0.0,0.0,0.0,0.0,0.5,1.0,0.0
君,国,1,jūn,guó,tɕyn,kwo,0.5,0.5,0.5,1.0,1.0,1.0,0.5
俊,荣,1,jùn,róng,tɕyn,ʐuŋ,0.0,1.0,0.5,1.0,1.0,1.0,0.0
灿,0,1,càn,0,tsʰan,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
岩,峻,1,yán,jùn,jɛn,tɕyn,0.0,0.5,0.0,0.5,0.5,1.0,0.0
炳,翔,1,bǐng,xiáng,piŋ,ɕjɑŋ,0.0,0.5,0.5,0.0,1.0,1.0,0.5
自,成,1,zì,chéng,tsɿ,tʂʰəŋ,0.5,0.0,0.0,0.0,1.0,1.0,0.0
朝,华,1,cháo,huá,tʂʰaw,xwa,1.0,0.0,0.0,0.0,1.0,1.0,0.5
久,琪,1,jiǔ,qí,tɕjəw,tɕʰi,1.0,0.5,0.0,0.0,1.0,1.0,0.0
国,桥,1,guó,qiáo,kwo,tɕʰjaw,1.0,0.0,0.5,0.5,1.0,1.0,0.5
孝,存,1,xiào,cún,ɕjaw,tsʰwən,0.5,0.0,0.0,0.0,1.0,1.0,0.0
瑚,珊,1,hú,shān,xu,ʂan,0.5,0.5,0.5,0.5,1.0,1.0,0.5
朝,荣,1,cháo,róng,tʂʰaw,ʐuŋ,0.5,0.5,0.5,0.5,1.0,1.0,0.0
幼,衡,1,yòu,héng,jəw,xəŋ,0.5,0.0,0.0,0.0,0.5,1.0,1.0
依,宸,0,yī,chén,i,tʂʰən,0.5,0.5,0.0,0.0,0.5,1.0,0.0
楚,儿,0,chǔ,ér,tʂʰu,ər,0.5,0.5,0.5,0.5,0.5,1.0,0.0
玉,坤,1,yù,kūn,y,kʰwən,0.5,0.5,0.0,0.5,0.5,1.0,1.0
锡,东,1,xī,dōng,ɕi,tuŋ,0.5,1.0,0.5,0.5,1.0,1.0,0.0
赟,涵,0,yūn,hán,yn,xan,0.0,0.5,0.0,0.5,0.5,1.0,1.0
稚,棱,0,zhì,léng,tʂʅ,ləŋ,0.5,0.0,0.0,0.0,1.0,0.5,0.0
巧,罗,1,qiǎo,luó,tɕʰjaw,lwo,1.0,0.0,0.5,0.5,1.0,0.5,0.0
继,武,1,jì,wǔ,tɕi,u,1.0,1.0,0.5,0.5,0.5,1.0,0.0
智,刚,1,zhì,gāng,tʂʅ,kaŋ,0.5,0.0,0.0,0.0,1.0,1.0,0.5
评,防,1,píng,fáng,pʰiŋ,faŋ,0.0,0.5,0.0,0.0,1.0,1.0,1.0
俊,忠,1,jùn,zhōng,tɕyn,tʂuŋ,0.0,1.0,0.5,1.0,1.0,1.0,0.0
涌,津,1,yǒng,jīn,yŋ,tɕin,0.0,1.0,0.0,0.5,0.5,1.0,0.0
水,亮,1,shuǐ,liàng,ʂwej,ljɑŋ,0.5,0.0,0.5,0.0,1.0,0.5,0.0
国,刚,1,guó,gāng,kwo,kaŋ,0.5,0.0,0.5,0.5,1.0,1.0,1.0
新,祥,1,xīn,xiáng,ɕin,ɕjɑŋ,0.0,0.5,0.5,0.0,1.0,1.0,0.0
馨,妍,0,xīn,yán,ɕin,jɛn,0.0,0.5,0.0,0.0,0.5,1.0,0.0
茂,栋,1,mào,dòng,maw,tuŋ,0.5,0.5,0.5,0.5,1.0,0.5,0.5
默,0,1,mò,0,mo,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
庄,尖,1,zhuāng,jiān,tʂwaŋ,tɕjɛn,0.0,0.0,0.0,0.0,1.0,1.0,0.0
华,杰,1,huá,jié,xwa,tɕjɛ,1.0,0.0,0.0,0.0,1.0,1.0,0.5
祥,玉,1,xiáng,yù,ɕjɑŋ,y,0.5,0.5,0.5,0.5,0.5,1.0,0.0
萱,0,0,xuān,0,ɕɥan,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
一,情,0,yī,qíng,i,tɕʰiŋ,0.5,1.0,0.0,0.0,0.5,1.0,0.0
贤,谦,1,xián,qiān,ɕjɛn,tɕʰjɛn,0.0,0.0,0.0,0.0,1.0,1.0,0.0
诗,龄,0,shī,líng,ʂʅ,liŋ,0.5,0.5,0.0,0.0,1.0,0.5,0.0
建,安,1,jiàn,ān,tɕjɛn,an,0.0,0.0,0.0,0.0,0.5,1.0,0.0
蓓,儿,0,bèi,ér,pej,ər,0.5,0.0,0.0,0.0,0.5,1.0,1.0
汶,0,1,wèn,0,wən,0,0.0,0.0,0.0,0.0,0.0,0,0
珣,0,1,xún,0,ɕyn,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
